timestamp,provider,model,latency_s
"2025-10-27T10:55:45.515284","ollama","gemma3:4b",1.585345
"2025-10-27T10:55:13.871635","ollama","gemma3:4b",1.732168
"2025-10-27T10:54:42.086952","ollama","gemma3:4b",1.539990
"2025-10-27T10:54:10.056610","ollama","gemma3:4b",1.579038
"2025-10-27T10:53:38.422114","ollama","gemma3:4b",2.206400
"2025-10-27T10:53:06.160426","ollama","gemma3:4b",1.644138
"2025-10-27T10:52:34.463853","ollama","gemma3:4b",1.710858
"2025-10-27T10:52:02.697849","ollama","gemma3:4b",1.684300
"2025-10-27T10:51:30.969446","ollama","gemma3:4b",1.591150
"2025-10-27T10:50:59.325619","ollama","gemma3:4b",1.627845
"2025-10-27T10:50:27.659557","ollama","gemma3:4b",1.600780
"2025-10-27T10:49:56.007790","ollama","gemma3:4b",1.656459
"2025-10-27T10:49:24.300423","ollama","gemma3:4b",1.667470
"2025-10-27T10:48:52.580132","ollama","gemma3:4b",1.720189
"2025-10-27T10:48:20.797535","ollama","gemma3:4b",1.881561
"2025-10-27T10:47:48.870399","ollama","gemma3:4b",1.507458
"2025-10-27T10:47:17.311169","ollama","gemma3:4b",1.744231
"2025-10-27T10:46:45.515000","ollama","gemma3:4b",1.511817
"2025-10-27T10:46:13.950161","ollama","gemma3:4b",1.592608
"2025-10-27T10:45:42.301811","ollama","gemma3:4b",1.734555
"2025-10-27T10:45:10.401877","ollama","gemma3:4b",1.810270
"2025-10-27T10:44:38.538728","ollama","gemma3:4b",1.633106
"2025-10-27T10:44:06.846670","ollama","gemma3:4b",1.982149
"2025-10-27T10:43:34.808574","ollama","gemma3:4b",1.667003
"2025-10-27T10:43:03.087972","ollama","gemma3:4b",1.821613
"2025-10-27T10:42:31.211746","ollama","gemma3:4b",1.679481
"2025-10-27T10:41:59.479804","ollama","gemma3:4b",1.434947
"2025-10-27T10:41:27.991057","ollama","gemma3:4b",1.674939
"2025-10-27T10:40:56.264881","ollama","gemma3:4b",1.766001
"2025-10-27T10:40:24.445445","ollama","gemma3:4b",1.602374
"2025-10-27T10:39:52.788265","ollama","gemma3:4b",1.738585
"2025-10-27T10:39:20.991048","ollama","gemma3:4b",1.636790
"2025-10-27T10:38:49.294881","ollama","gemma3:4b",1.706158
"2025-10-27T10:38:17.538074","ollama","gemma3:4b",1.761147
"2025-10-27T10:37:45.724404","ollama","gemma3:4b",1.451726
"2025-10-27T10:37:14.218289","ollama","gemma3:4b",1.515202
"2025-10-27T10:36:42.651396","ollama","gemma3:4b",1.493754
"2025-10-27T10:36:11.106563","ollama","gemma3:4b",1.588819
