timestamp,provider,model,latency_ms
"2025-10-27T04:10:10.320282","ollama","gemma3:4b",5271.000
"2025-10-27T04:09:40.271351","ollama","gemma3:4b",5184.000
"2025-10-27T04:09:10.223970","ollama","gemma3:4b",4743.000
"2025-10-27T04:08:40.177829","ollama","gemma3:4b",4523.000
"2025-10-27T04:08:10.130420","ollama","gemma3:4b",4507.000
"2025-10-27T04:07:40.082168","ollama","gemma3:4b",4470.000
"2025-10-27T04:07:10.036929","ollama","gemma3:4b",4747.000
"2025-10-27T04:06:40.003228","ollama","gemma3:4b",4647.000
"2025-10-27T04:06:09.957695","ollama","gemma3:4b",6183.000
"2025-10-27T04:05:39.909161","ollama","gemma3:4b",4659.000
"2025-10-27T04:05:09.864167","ollama","gemma3:4b",4381.000
"2025-10-27T04:04:39.817166","ollama","gemma3:4b",4573.000
"2025-10-27T04:04:09.770088","ollama","gemma3:4b",5369.000
"2025-10-27T04:03:39.728597","ollama","gemma3:4b",6160.000
"2025-10-27T04:03:09.691520","ollama","gemma3:4b",4772.000
"2025-10-27T04:02:39.646779","ollama","gemma3:4b",4930.000
"2025-10-27T04:02:09.597895","ollama","gemma3:4b",4375.000
"2025-10-27T04:01:39.558486","ollama","gemma3:4b",4534.000
"2025-10-27T04:01:09.510588","ollama","gemma3:4b",5236.000
"2025-10-27T04:00:39.464160","ollama","gemma3:4b",5332.000
"2025-10-27T04:00:09.415934","ollama","gemma3:4b",4860.000
"2025-10-27T03:59:39.371962","ollama","gemma3:4b",5880.000
"2025-10-27T03:59:09.324898","ollama","gemma3:4b",5896.000
"2025-10-27T03:58:39.274877","ollama","gemma3:4b",5728.000
"2025-10-27T03:58:09.227523","ollama","gemma3:4b",6803.000
"2025-10-27T03:57:39.178683","ollama","gemma3:4b",4430.000
"2025-10-27T03:57:09.131999","ollama","gemma3:4b",5231.000
"2025-10-27T03:56:39.087678","ollama","gemma3:4b",6174.000
"2025-10-27T03:56:09.043787","ollama","gemma3:4b",4647.000
"2025-10-27T03:55:38.998428","ollama","gemma3:4b",5530.000
"2025-10-27T03:55:08.952290","ollama","gemma3:4b",4595.000
"2025-10-27T03:54:38.905414","ollama","gemma3:4b",5987.000
"2025-10-27T03:54:08.832600","ollama","gemma3:4b",5607.000
"2025-10-27T03:53:38.786263","ollama","gemma3:4b",4624.000
